GEO_ID,NAME,B19013_001E,B19013_001M
42101013800,"Census Tract 138, Philadelphia County, Pennsylvania",40536,21527
42101013900,"Census Tract 139, Philadelphia County, Pennsylvania",26354,8203
42101014000,"Census Tract 140, Philadelphia County, Pennsylvania",40975,7094
42101014100,"Census Tract 141, Philadelphia County, Pennsylvania",27621,15430
42101014200,"Census Tract 142, Philadelphia County, Pennsylvania",113143,23164
42101014300,"Census Tract 143, Philadelphia County, Pennsylvania",90772,8813
42101014400,"Census Tract 144, Philadelphia County, Pennsylvania",77284,18441
42101014500,"Census Tract 145, Philadelphia County, Pennsylvania",17991,6274
42101014600,"Census Tract 146, Philadelphia County, Pennsylvania",33787,6165
42101014700,"Census Tract 147, Philadelphia County, Pennsylvania",10793,2259
42101014800,"Census Tract 148, Philadelphia County, Pennsylvania",12500,6213
42101014900,"Census Tract 149, Philadelphia County, Pennsylvania",16955,4385
42101015101,"Census Tract 151.01, Philadelphia County, Pennsylvania",29350,11658
42101015102,"Census Tract 151.02, Philadelphia County, Pennsylvania",17467,6506
42101015200,"Census Tract 152, Philadelphia County, Pennsylvania",25156,12286
42101015300,"Census Tract 153, Philadelphia County, Pennsylvania",17202,8431
42101015600,"Census Tract 156, Philadelphia County, Pennsylvania",28472,12072
42101015700,"Census Tract 157, Philadelphia County, Pennsylvania",46667,6072
42101015800,"Census Tract 158, Philadelphia County, Pennsylvania",77198,13962
42101016000,"Census Tract 160, Philadelphia County, Pennsylvania",70739,7227
42101016100,"Census Tract 161, Philadelphia County, Pennsylvania",79932,14544
42101016200,"Census Tract 162, Philadelphia County, Pennsylvania",27198,6034
42101016300,"Census Tract 163, Philadelphia County, Pennsylvania",18158,3287
42101016400,"Census Tract 164, Philadelphia County, Pennsylvania",18067,3192
42101016500,"Census Tract 165, Philadelphia County, Pennsylvania",13235,10649
42101016600,"Census Tract 166, Philadelphia County, Pennsylvania",31458,20590
42101016701,"Census Tract 167.01, Philadelphia County, Pennsylvania",32561,16995
42101016702,"Census Tract 167.02, Philadelphia County, Pennsylvania",21131,10868
42101016800,"Census Tract 168, Philadelphia County, Pennsylvania",12547,4713
42101016901,"Census Tract 169.01, Philadelphia County, Pennsylvania",30426,6101
42101016902,"Census Tract 169.02, Philadelphia County, Pennsylvania",19678,4430
42101017000,"Census Tract 170, Philadelphia County, Pennsylvania",46269,9247
42101017100,"Census Tract 171, Philadelphia County, Pennsylvania",26710,9668
42101017201,"Census Tract 172.01, Philadelphia County, Pennsylvania",31987,18932
42101017202,"Census Tract 172.02, Philadelphia County, Pennsylvania",22934,8891
42101017300,"Census Tract 173, Philadelphia County, Pennsylvania",16607,7630
42101017400,"Census Tract 174, Philadelphia County, Pennsylvania",28642,3042
42101017500,"Census Tract 175, Philadelphia County, Pennsylvania",17910,3836
42101017601,"Census Tract 176.01, Philadelphia County, Pennsylvania",16361,5312
42101017602,"Census Tract 176.02, Philadelphia County, Pennsylvania",23630,6404
42101017701,"Census Tract 177.01, Philadelphia County, Pennsylvania",20266,9757
42101017702,"Census Tract 177.02, Philadelphia County, Pennsylvania",23336,2608
42101017800,"Census Tract 178, Philadelphia County, Pennsylvania",26052,5901
42101017900,"Census Tract 179, Philadelphia County, Pennsylvania",35787,2814
42101018001,"Census Tract 180.01, Philadelphia County, Pennsylvania",61917,17280
42101018002,"Census Tract 180.02, Philadelphia County, Pennsylvania",44201,20002
42101018300,"Census Tract 183, Philadelphia County, Pennsylvania",69188,13770
42101018400,"Census Tract 184, Philadelphia County, Pennsylvania",54474,8162
42101018800,"Census Tract 188, Philadelphia County, Pennsylvania",26008,2156
42101019000,"Census Tract 190, Philadelphia County, Pennsylvania",33685,3674
42101019100,"Census Tract 191, Philadelphia County, Pennsylvania",41224,9509
42101019200,"Census Tract 192, Philadelphia County, Pennsylvania",28783,10414
42101019501,"Census Tract 195.01, Philadelphia County, Pennsylvania",17825,5816
42101019502,"Census Tract 195.02, Philadelphia County, Pennsylvania",20372,9240
42101019700,"Census Tract 197, Philadelphia County, Pennsylvania",32621,6860
42101019800,"Census Tract 198, Philadelphia County, Pennsylvania",28319,5493
42101019900,"Census Tract 199, Philadelphia County, Pennsylvania",20577,5991
42101020000,"Census Tract 200, Philadelphia County, Pennsylvania",21792,9209
42101020101,"Census Tract 201.01, Philadelphia County, Pennsylvania",14164,3466
42101020102,"Census Tract 201.02, Philadelphia County, Pennsylvania",36729,4561
42101020200,"Census Tract 202, Philadelphia County, Pennsylvania",20067,6913
42101020300,"Census Tract 203, Philadelphia County, Pennsylvania",23244,4626
42101020400,"Census Tract 204, Philadelphia County, Pennsylvania",26589,11680
42101020500,"Census Tract 205, Philadelphia County, Pennsylvania",13456,7170
42101020600,"Census Tract 206, Philadelphia County, Pennsylvania",52167,15526
42101020700,"Census Tract 207, Philadelphia County, Pennsylvania",100813,17554
42101020800,"Census Tract 208, Philadelphia County, Pennsylvania",60938,24473
42101020900,"Census Tract 209, Philadelphia County, Pennsylvania",74554,16440
42101021000,"Census Tract 210, Philadelphia County, Pennsylvania",70765,9728
42101021100,"Census Tract 211, Philadelphia County, Pennsylvania",75871,12968
42101021200,"Census Tract 212, Philadelphia County, Pennsylvania",66179,12660
42101021300,"Census Tract 213, Philadelphia County, Pennsylvania",75174,12220
42101021400,"Census Tract 214, Philadelphia County, Pennsylvania",77257,15985
